danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,key,mode,decade
0.544,0.812,-11.191,0.0592,0.516,0.0031,0.11,0.783,123.269,4,161186,9,1,1960s
0.652,0.693,-3.979,0.0359,0.66,0.00809,0.304,0.907,116.291,4,183613,8,0,1960s
0.429,0.234,-14.166,0.0717,0.812,0.279,0.127,0.559,207.713,3,204466,9,1,1960s
0.507,0.327,-14.104,0.0315,0.207,0.46,0.0792,0.221,113.204,4,135850,5,1,1960s
0.504,0.678,-10.38,0.0367,0.00865,0.0,0.0805,0.953,140.618,4,156946,2,1,1960s
0.563,0.323,-11.873,0.0654,0.688,0.000445,0.246,0.725,118.364,4,294573,4,1,1960s
0.806,0.521,-13.967,0.0783,0.255,0.00675,0.0493,0.506,119.98,4,245466,9,1,1960s
0.386,0.335,-12.996,0.0344,0.648,0.796,0.813,0.125,168.898,4,208587,7,1,1960s
0.663,0.785,-8.146,0.027,0.624,0.695,0.0779,0.847,115.811,4,251746,0,1,1960s
0.297,0.327,-14.417,0.0482,0.673,0.905,0.0786,0.334,130.852,4,327986,9,1,1960s
0.39,0.608,-8.267,0.0298,0.147,0.0,0.27,0.59,158.394,4,269586,5,0,1960s
0.202,0.746,-7.967,0.0659,0.318,0.00281,0.138,0.53,175.804,4,252506,2,1,1960s
0.627,0.347,-8.435,0.0383,0.969,2e-05,0.0913,0.661,80.422,4,334066,2,1,1960s
0.589,0.567,-8.126,0.0292,0.125,0.0,0.216,0.25,139.852,4,123813,0,1,1960s
0.627,0.347,-8.435,0.0383,0.969,2e-05,0.0913,0.661,80.422,4,334066,2,1,1960s
0.449,0.851,-8.79,0.0819,0.00195,0.332,0.218,0.397,125.021,4,279448,2,1,1960s
0.339,0.296,-12.079,0.119,0.0951,0.00482,0.121,0.224,191.566,3,164813,0,1,1960s
0.391,0.732,-8.188,0.0295,0.00471,0.121,0.0979,0.622,100.354,4,271786,4,0,1960s
0.589,0.567,-7.774,0.0342,0.679,0.175,0.335,0.731,110.531,4,158133,8,0,1960s
0.446,0.276,-14.117,0.0741,0.695,0.000114,0.12,0.331,155.315,3,368226,2,1,1960s
0.699,0.641,-7.564,0.0289,0.13,0.000218,0.0601,0.728,120.745,4,187213,2,1,1960s
0.646,0.831,-11.085,0.0507,0.678,2.71e-05,0.571,0.811,135.598,4,176253,3,1,1960s
0.496,0.637,-8.133,0.0366,0.294,1.61e-05,0.0566,0.919,106.217,3,173666,2,1,1960s
0.639,0.657,-6.344,0.0295,0.115,1.91e-05,0.0419,0.576,109.441,4,189222,2,1,1960s
0.612,0.603,-12.08,0.0438,0.00507,0.134,0.18,0.606,133.038,4,189453,1,0,1960s
0.604,0.655,-7.155,0.0439,0.866,0.0,0.108,0.932,145.371,3,126373,7,1,1960s
0.35,0.545,-8.459,0.0261,0.0583,0.117,0.128,0.383,77.08,4,387440,7,1,1960s
0.757,0.484,-12.382,0.0952,0.399,5.89e-05,0.163,0.759,113.657,4,171733,5,1,1960s
0.422,0.85,-8.508,0.0489,0.416,0.00171,0.399,0.888,101.544,4,193626,6,0,1960s
0.639,0.599,-9.079,0.029,0.784,0.0612,0.146,0.55,123.826,4,189200,0,1,1960s
0.235,0.891,-11.141,0.0934,0.203,0.488,0.0774,0.207,208.991,4,237840,2,0,1960s
0.582,0.545,-11.677,0.0298,0.017,4.05e-06,0.229,0.721,101.691,4,164893,4,0,1960s
0.391,0.732,-8.188,0.0295,0.00471,0.121,0.0979,0.622,100.354,4,271786,4,0,1960s
0.695,0.684,-9.968,0.133,0.0688,0.000257,0.0981,0.427,99.014,4,214693,1,1,1960s
0.663,0.689,-11.904,0.0499,0.16,4.71e-05,0.334,0.556,86.588,4,127760,0,1,1960s
0.349,0.467,-9.045,0.0333,0.401,0.00036,0.173,0.353,146.745,3,244293,0,1,1960s
0.632,0.677,-12.32,0.0373,0.146,0.000105,0.115,0.816,146.023,4,194960,1,0,1960s
0.35,0.545,-8.459,0.0261,0.0583,0.117,0.128,0.383,77.08,4,387440,7,1,1960s
0.604,0.655,-7.155,0.0439,0.866,0.0,0.108,0.932,145.371,3,126373,7,1,1960s
0.506,0.762,-9.059,0.0345,0.0333,0.69,0.211,0.967,80.84,4,110986,9,1,1960s
0.7,0.811,-11.837,0.0589,0.188,0.55,0.256,0.891,130.895,4,174760,11,1,1960s
0.678,0.386,-15.991,0.0464,0.0686,0.109,0.108,0.552,117.303,4,314666,9,1,1960s
0.705,0.427,-11.971,0.0353,0.294,0.0,0.355,0.827,112.294,4,165160,4,1,1960s
0.703,0.492,-10.085,0.0349,0.644,0.0,0.265,0.593,119.034,4,166520,4,1,1960s
0.349,0.743,-11.551,0.0384,0.504,0.000157,0.255,0.549,140.774,4,187400,7,1,1960s
0.702,0.359,-8.986,0.0402,0.765,2.15e-06,0.0837,0.806,77.894,4,164866,7,1,1960s
0.331,0.775,-10.71,0.117,0.0442,0.0607,0.0699,0.661,151.201,4,186053,9,1,1960s
0.338,0.303,-12.023,0.128,0.0906,0.00441,0.122,0.223,191.321,3,164826,0,1,1960s
0.504,0.678,-10.38,0.0367,0.00865,0.0,0.0805,0.953,140.618,4,156946,2,1,1960s
0.604,0.655,-7.155,0.0439,0.866,0.0,0.108,0.932,145.371,3,126373,7,1,1960s
0.549,0.543,-14.671,0.0362,0.175,0.0321,0.166,0.968,74.006,4,160626,5,0,1960s
0.338,0.465,-9.634,0.0502,0.01,0.294,0.109,0.198,166.869,4,461293,4,1,1960s
0.663,0.785,-8.146,0.027,0.624,0.695,0.0779,0.847,115.811,4,251746,0,1,1960s
0.35,0.545,-8.459,0.0261,0.0583,0.117,0.128,0.383,77.08,4,387440,7,1,1960s
0.806,0.521,-13.967,0.0783,0.255,0.00675,0.0493,0.506,119.98,4,245466,9,1,1960s
0.567,0.688,-11.893,0.0551,0.143,4.72e-05,0.307,0.573,172.871,4,127946,0,1,1960s
0.59,0.448,-11.901,0.0256,0.0362,0.0,0.104,0.68,86.656,4,165613,3,1,1960s
0.581,0.56,-12.237,0.216,0.608,0.0,0.288,0.803,133.483,4,200466,6,0,1960s
0.548,0.241,-13.61,0.159,0.435,0.0238,0.0911,0.254,177.237,3,301226,2,1,1960s
0.741,0.872,-8.898,0.0711,0.0211,2.91e-05,0.0789,0.923,107.706,4,151746,4,1,1960s
0.174,0.633,-14.165,0.0414,0.971,0.917,0.155,0.156,82.729,3,210026,9,0,1960s
0.438,0.651,-10.615,0.0932,0.218,5.87e-05,0.905,0.624,95.711,4,122373,7,1,1960s
0.508,0.774,-5.973,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,4,141600,2,1,1960s
0.753,0.354,-15.016,0.0361,0.834,0.055,0.203,0.899,120.729,4,176373,9,0,1960s
0.411,0.56,-13.167,0.254,0.498,0.00949,0.0817,0.331,98.333,4,248866,10,1,1960s
