artist_name,artist_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,key_mode,genre1,genre2,genre3
Green Day,7oPftvlwr6VrsViSDV7fJY,0.43521875,0.8959419642857144,-4.404705357142857,0.0719696428571428,0.0290523259821428,0.024206676875,0.2101004464285714,0.6584299107142858,140.04163392857143,189080.94642857145,D major,rock,,
Dusty Springfield,5zaXYwewAXedKNCff45U5l,0.4853405797101449,0.4983333333333334,-10.186623188405797,0.0430304347826087,0.5187697826086956,0.0152472944202898,0.2226963768115941,0.5655210144927536,116.1996739130435,195254.2391304348,D major,jazz,,
Hozier,2FXC3k01G6Gw61bmprjgqS,0.4480208333333333,0.5164375,-7.487791666666666,0.0463270833333333,0.3843343958333333,0.0487191779166666,0.1360291666666666,0.3395229166666667,116.83606249999998,241630.72916666663,G major,rock,,
Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,0.6523846153846153,0.4936269230769231,-12.291384615384615,0.3029307692307692,0.2708384615384615,0.0004171399999999,0.25895,0.6108461538461538,102.29530769230767,281465.6923076923,C# major,soul,,
Incubus,3YcBF2ttyueytpXtEzn1Za,0.5084141414141414,0.7865757575757577,-6.192252525252526,0.057950505050505,0.08039821010101,0.0761957989898989,0.1810515151515151,0.4321404040404041,134.34174747474745,245848.59595959596,A major,funk,,
Farruko,329e4yvIujISKGKz1BZZbO,0.6959629629629629,0.7456962962962963,-5.0904740740740735,0.1002822222222222,0.2143546666666666,0.0005877182962962,0.2171911111111111,0.5978,123.40826666666663,223879.2962962963,B minor,latin,,
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,0.5307488584474886,0.7874109589041095,-5.798831050228311,0.0673063926940639,0.0685414155251141,0.0567808587214611,0.1706557077625571,0.5009534246575342,120.36390410958904,259293.3698630137,C major,funk,rock,
Kali Uchis,1U1el3k54VvEUzo3ybLPlM,0.6366025641025642,0.5550974358974359,-7.8410897435897455,0.0675833333333333,0.2865464102564103,0.0218805683333333,0.1916448717948717,0.4739205128205128,117.95052564102566,180635.4358974359,F# minor,pop,,
Swedish House Mafia,1h6Cn3P4NGzXbaXidqURXs,0.58544,0.65728,-7.711320000000001,0.09074,0.082635032,0.3906169716,0.215492,0.201592,124.43600000000002,269980.92,D major,edm,,
Dean Martin,49e4v89VmlDcFCMyDv9wQ9,0.495436974789916,0.4286386554621849,-10.407168067226891,0.039444537815126,0.6890605042016806,0.0036681406722689,0.2006714285714285,0.5327563025210084,117.14718487394958,162275.12605042016,D# major,jazz,,
Maroon 5,04gDigrS5kc9YWfZHwBETP,0.6601734693877551,0.7005,-5.4876734693877545,0.0515551020408163,0.1335249693877551,0.0006148139795918,0.1587826530612245,0.5434908163265305,120.01014285714288,213872.7857142857,E minor,pop,,
Major Lazer,738wLrAtLtCtFOLvQBXOXp,0.7097407407407408,0.778216049382716,-5.606037037037037,0.1186895061728394,0.0665001172839506,0.1786651621604938,0.2337950617283951,0.5229111111111111,126.76183950617283,199147.8950617284,G major,edm,,
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,0.6605180722891566,0.6387469879518073,-5.2781686746987955,0.0997698795180723,0.1509394216867469,0.011254876506024,0.2159409638554217,0.3108325301204819,126.2548313253012,227478.3253012048,C# major,hip hop,rap,
SZA,7tYKF4w9nC0nq9CsPZTHyP,0.6250588235294119,0.5409264705882354,-8.036573529411765,0.1463470588235293,0.3684436764705883,0.0233795927941176,0.1730897058823529,0.4071147058823529,114.77388235294116,200462.6911764706,C# major,pop,rap,
Missy Elliott,2wIVse2owClT7go1WT98tk,0.7731807228915664,0.5936626506024096,-8.558734939759036,0.2708939759036144,0.2442927710843373,0.0299640254216867,0.1995120481927711,0.6450722891566265,115.13956626506022,226630.61445783137,C# major,soul,,
The Temptations,3RwQ26hR2tJtA8F9p2n7jG,0.6034574468085107,0.5645007978723404,-10.643353723404257,0.0591452127659574,0.3575710904255319,0.0115867967819148,0.1871079787234042,0.6535140957446808,115.0049095744681,250951.65425531915,C major,soul,,
Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,0.5778405797101448,0.5888985507246376,-7.525420289855073,0.1845739130434782,0.3281173913043478,9.933333333333337e-07,0.2027173913043478,0.5773478260869566,125.430115942029,172348.1739130435,A# major,country,,
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,0.4905625,0.7226125,-6.5790750000000005,0.0571275,0.14565160375,0.05004797875,0.179565,0.5454625,125.283425,208626.25,B minor,rock,,
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,0.7864252873563218,0.5882298850574713,-6.475057471264367,0.2829942528735632,0.1087465103448276,1.9200919540229885e-05,0.1501655172413792,0.4597390804597701,122.79229885057478,171455.71264367815,C# major,hip hop,,
AFROJACK,4D75GcNG95ebPtNvoNVXhz,0.6472000000000001,0.8301090909090909,-5.405381818181817,0.0762690909090909,0.0877765272727272,0.23166032,0.1915563636363636,0.3556072727272727,129.0770909090909,250799.54545454544,C major,edm,,
